"","filename","exit_status","sys_time"
"243","add_alignments_11995517.log","OK",4
"244","add_alignments_11995518.log","OK",4
"245","add_alignments_11995519.log","OK",4
"246","add_alignments_11995520.log","OK",3
"247","add_alignments_11995521.log","OK",4
"248","add_alignments_11995522.log","OK",3
"249","add_alignments_11995523.log","OK",4
"250","add_alignments_11995524.log","OK",4
"251","add_alignments_11995525.log","OK",3
"252","add_alignments_11995526.log","OK",6
"253","add_alignments_11995527.log","OK",4
"254","add_alignments_11995528.log","OK",2
"255","add_alignments_11995529.log","OK",4
"256","add_alignments_11995530.log","OK",2
"257","add_alignments_11995531.log","OK",8
"258","add_alignments_11995532.log","OK",2
"259","add_alignments_11995533.log","OK",4
"260","add_alignments_11995534.log","OK",3
"261","add_alignments_11995535.log","OK",24
"262","add_alignments_11995536.log","OK",14
"263","add_alignments_11995537.log","OK",9
"264","add_alignments_11995538.log","OK",10
"265","add_alignments_11995539.log","OK",14
"266","add_alignments_11995540.log","OK",27
"267","add_alignments_11995541.log","OK",8
"268","add_alignments_11995542.log","OK",7
"269","add_alignments_11995543.log","OK",18
"270","add_alignments_11995544.log","OK",14
"271","add_alignments_11995545.log","OK",11
"272","add_alignments_11995546.log","OK",8
"273","add_alignments_11995547.log","OK",16
"274","add_alignments_11995548.log","OK",10
"275","add_alignments_11995549.log","OK",11
"276","add_alignments_11995550.log","OK",18
"277","add_alignments_11995551.log","OK",25
"278","add_alignments_11995552.log","OK",14
"279","add_alignments_11995553.log","OK",20
"280","add_alignments_11995554.log","OK",11
"281","add_alignments_11995555.log","OK",3
"282","add_alignments_11995556.log","OK",3
"283","add_alignments_11995557.log","OK",3
"284","add_alignments_11995558.log","OK",2
"285","add_alignments_11995559.log","OK",2
"286","add_alignments_11995560.log","OK",2
"287","add_alignments_11995561.log","OK",2
"288","add_alignments_11995562.log","OK",3
"289","add_alignments_11995563.log","OK",4
"290","add_alignments_11995564.log","OK",2
"291","add_alignments_11995565.log","OK",3
"292","add_alignments_11995566.log","OK",2
"293","add_alignments_11995567.log","OK",2
"294","add_alignments_11995568.log","OK",3
"295","add_alignments_11995569.log","OK",2
"296","add_alignments_11995570.log","OK",2
"297","add_alignments_11995571.log","OK",2
"298","add_alignments_11995572.log","OK",2
"299","add_alignments_11995573.log","OK",2
"300","add_alignments_11995574.log","OK",3
"301","add_alignments_11995575.log","OK",6
"302","add_alignments_11995576.log","OK",6
"303","add_alignments_11995577.log","OK",7
"304","add_alignments_11995578.log","OK",5
"305","add_alignments_11995579.log","OK",9
"306","add_alignments_11995580.log","OK",10
"307","add_alignments_11995581.log","OK",6
"308","add_alignments_11995582.log","OK",5
"309","add_alignments_11995583.log","OK",3
"310","add_alignments_11995584.log","OK",8
"311","add_alignments_11995585.log","OK",5
"312","add_alignments_11995586.log","OK",8
"313","add_alignments_11995587.log","OK",4
"314","add_alignments_11995588.log","OK",4
"315","add_alignments_11995589.log","OK",8
"316","add_alignments_11995590.log","OK",5
"317","add_alignments_11995591.log","OK",10
"318","add_alignments_11995592.log","OK",5
"319","add_alignments_11995593.log","OK",13
"320","add_alignments_11995594.log","OK",5
"321","add_alignments_11995595.log","OK",3
"322","add_alignments_11995596.log","OK",2
"323","add_alignments_11995597.log","OK",2
"324","add_alignments_11995598.log","OK",2
"325","add_alignments_11995599.log","OK",2
"326","add_alignments_11995600.log",NA,NA
"327","add_alignments_11995601.log","OK",2
"328","add_alignments_11995602.log","OK",2
"329","add_alignments_11995603.log","OK",2
"330","add_alignments_11995604.log","OK",2
"331","add_alignments_11995605.log","OK",2
"332","add_alignments_11995606.log","OK",2
"333","add_alignments_11995607.log","OK",3
"334","add_alignments_11995608.log","OK",2
"335","add_alignments_11995609.log","OK",2
"336","add_alignments_11995610.log","OK",2
"337","add_alignments_11995611.log","OK",2
"338","add_alignments_11995612.log","OK",2
"339","add_alignments_11995613.log","OK",2
"340","add_alignments_11995614.log","OK",2
"341","add_alignments_11995615.log","OK",4
"342","add_alignments_11995616.log","OK",5
"343","add_alignments_11995617.log","OK",4
"344","add_alignments_11995618.log","OK",4
"345","add_alignments_11995619.log","OK",6
"346","add_alignments_11995620.log","OK",4
"347","add_alignments_11995621.log","OK",3
"348","add_alignments_11995622.log","OK",6
"349","add_alignments_11995623.log","OK",3
"350","add_alignments_11995624.log","OK",4
"351","add_alignments_11995625.log","OK",5
"352","add_alignments_11995626.log","OK",8
"353","add_alignments_11995627.log","OK",5
"354","add_alignments_11995628.log","OK",4
"355","add_alignments_11995629.log","OK",4
"356","add_alignments_11995630.log","OK",3
"357","add_alignments_11995631.log","OK",7
"358","add_alignments_11995632.log","OK",3
"359","add_alignments_11995633.log","OK",3
"360","add_alignments_11995634.log","OK",3
"361","add_alignments_11995635.log","OK",4
"362","add_alignments_11995636.log","OK",10
"363","add_alignments_11995637.log",NA,NA
"364","add_alignments_11995638.log","OK",5
"365","add_alignments_11995639.log","OK",4
"366","add_alignments_11995640.log","OK",5
"367","add_alignments_11995641.log","OK",3
"368","add_alignments_11995642.log","OK",3
"369","add_alignments_11995643.log","OK",5
"370","add_alignments_11995644.log","OK",5
"371","add_alignments_11995645.log","OK",4
"372","add_alignments_11995646.log","OK",3
"373","add_alignments_11995647.log","OK",5
"374","add_alignments_11995648.log","OK",4
"375","add_alignments_11995649.log","OK",5
"376","add_alignments_11995650.log","OK",3
"377","add_alignments_11995651.log","OK",4
"378","add_alignments_11995652.log","OK",6
"379","add_alignments_11995653.log","OK",3
"380","add_alignments_11995654.log",NA,NA
"381","add_alignments_11995655.log","OK",7
"382","add_alignments_11995656.log","OK",18
"383","add_alignments_11995657.log","OK",14
"384","add_alignments_11995658.log","OK",12
"385","add_alignments_11995659.log","OK",8
"386","add_alignments_11995660.log","OK",14
"387","add_alignments_11995661.log","OK",43
"388","add_alignments_11995662.log","OK",39
"389","add_alignments_11995663.log","OK",42
"390","add_alignments_11995664.log","OK",16
"391","add_alignments_11995665.log","OK",41
"392","add_alignments_11995666.log","OK",6
"393","add_alignments_11995667.log","OK",6
"394","add_alignments_11995668.log","OK",8
"395","add_alignments_11995669.log","OK",5
"396","add_alignments_11995670.log","OK",20
"397","add_alignments_11995671.log","OK",34
"398","add_alignments_11995672.log","OK",20
"399","add_alignments_11995673.log","OK",10
"400","add_alignments_11995674.log","OK",8
"401","add_alignments_11995675.log",NA,NA
"402","add_alignments_11995676.log","OK",3
"403","add_alignments_11995677.log","OK",2
"404","add_alignments_11995678.log","OK",2
"405","add_alignments_11995679.log","OK",3
"406","add_alignments_11995680.log","OK",2
"407","add_alignments_11995681.log","OK",2
"408","add_alignments_11995682.log","OK",4
"409","add_alignments_11995683.log","OK",3
"410","add_alignments_11995684.log","OK",3
"411","add_alignments_11995685.log","OK",3
"412","add_alignments_11995686.log","OK",3
"413","add_alignments_11995687.log","OK",3
"414","add_alignments_11995688.log","OK",3
"415","add_alignments_11995689.log","OK",4
"416","add_alignments_11995690.log","OK",3
"417","add_alignments_11995691.log","OK",2
"418","add_alignments_11995692.log",NA,NA
"419","add_alignments_11995693.log","OK",3
"420","add_alignments_11995694.log","OK",3
"421","add_alignments_11995695.log","OK",8
"422","add_alignments_11995696.log","OK",9
"423","add_alignments_11995697.log","OK",7
"424","add_alignments_11995698.log","OK",9
"425","add_alignments_11995699.log","OK",4
"426","add_alignments_11995700.log","OK",5
"427","add_alignments_11995701.log","OK",4
"428","add_alignments_11995702.log","OK",10
"429","add_alignments_11995703.log","OK",6
"430","add_alignments_11995704.log","OK",7
"431","add_alignments_11995705.log","OK",7
"432","add_alignments_11995706.log","OK",6
"433","add_alignments_11995707.log","OK",6
"434","add_alignments_11995708.log","OK",15
"435","add_alignments_11995709.log","OK",7
"436","add_alignments_11995710.log","OK",7
"437","add_alignments_11995711.log","OK",12
"438","add_alignments_11995712.log","OK",8
"439","add_alignments_11995713.log","OK",10
"440","add_alignments_11995714.log","OK",3
"441","add_alignments_11995715.log",NA,NA
"442","add_alignments_11995716.log","OK",2
"443","add_alignments_11995717.log","OK",2
"444","add_alignments_11995718.log","OK",2
"445","add_alignments_11995719.log","OK",2
"446","add_alignments_11995720.log","OK",2
"447","add_alignments_11995721.log","OK",3
"448","add_alignments_11995722.log","OK",2
"449","add_alignments_11995723.log","OK",2
"450","add_alignments_11995724.log","OK",3
"451","add_alignments_11995725.log",NA,NA
"452","add_alignments_11995726.log","OK",3
"453","add_alignments_11995727.log","OK",2
"454","add_alignments_11995728.log","OK",2
"455","add_alignments_11995729.log","OK",2
"456","add_alignments_11995730.log","OK",2
"457","add_alignments_11995731.log","OK",3
"458","add_alignments_11995732.log","OK",3
"459","add_alignments_11995733.log",NA,NA
"460","add_alignments_11995734.log","OK",2
"461","add_alignments_11995735.log","OK",10
"462","add_alignments_11995736.log","OK",3
"463","add_alignments_11995737.log","OK",6
"464","add_alignments_11995738.log","OK",6
"465","add_alignments_11995739.log","OK",6
"466","add_alignments_11995740.log","OK",3
"467","add_alignments_11995741.log","OK",5
"468","add_alignments_11995742.log","OK",3
"469","add_alignments_11995743.log","OK",6
"470","add_alignments_11995744.log","OK",5
"471","add_alignments_11995745.log","OK",4
"472","add_alignments_11995746.log","OK",6
"473","add_alignments_11995747.log","OK",7
"474","add_alignments_11995748.log","OK",3
"475","add_alignments_11995749.log","OK",5
"476","add_alignments_11995750.log","OK",3
"477","add_alignments_11995751.log","OK",3
"478","add_alignments_11995752.log","OK",4
"479","add_alignments_11995753.log","OK",5
"480","add_alignments_11995754.log","OK",3
"481","add_alignments_11995755.log","OK",7
"482","add_alignments_11995756.log","OK",25
"483","add_alignments_11995757.log","OK",22
"484","add_alignments_11995758.log","OK",9
"485","add_alignments_11995759.log","OK",8
"486","add_alignments_11995760.log","OK",6
"487","add_alignments_11995761.log","OK",4
"488","add_alignments_11995762.log","OK",9
"489","add_alignments_11995763.log","OK",13
"490","add_alignments_11995764.log","OK",10
