"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"70","article_0_0_0_0_0_100_2_2_2.xml.state","WilsonBalding.t",NA,39,38417,17,37316,3131,3131
"71","article_0_0_0_0_0_100_2_2_2.xml.state","BirthRateScaler.t",0.440084473376981,10220,28337,9531,27942,0,0
"72","article_0_0_0_0_0_100_2_2_2.xml.state","DeathRateScaler.t",0.192239852079363,13509,24567,12651,24343,1087,1087
"73","article_0_0_0_0_0_101_1_1_1.xml.state","treeScaler.t",0.845728027371192,4678,33820,4638,32718,0,0
"74","article_0_0_0_0_0_101_1_1_1.xml.state","treeRootScaler.t",0.691339140195034,2310,36128,2257,35108,14121,14121
"75","article_0_0_0_0_0_101_1_1_1.xml.state","UniformOperator.t",NA,87664,297128,84747,289028,0,0
"76","article_0_0_0_0_0_101_1_1_1.xml.state","SubtreeSlide.t",0.136212768846285,4029,188133,3982,182725,78686,78686
"77","article_0_0_0_0_0_101_1_1_1.xml.state","narrow.t",NA,19629,172471,18811,167821,0,0
"78","article_0_0_0_0_0_101_1_1_1.xml.state","wide.t",NA,58,38235,40,37101,19265,19265
"79","article_0_0_0_0_0_101_1_1_1.xml.state","WilsonBalding.t",NA,113,38670,86,37660,2552,2552
"80","article_0_0_0_0_0_101_1_1_1.xml.state","BirthRateScaler.t",0.488316053964928,10589,27944,9915,27456,0,0
"81","article_0_0_0_0_0_101_1_1_1.xml.state","DeathRateScaler.t",0.178013259137406,12842,25560,11942,25291,499,499
"82","article_0_0_0_0_0_101_1_1_2.xml.state","treeScaler.t",0.822450017167555,3951,34192,3912,33134,0,0
"83","article_0_0_0_0_0_101_1_1_2.xml.state","treeRootScaler.t",0.77687567525404,3412,34729,3376,33708,14683,14683
"84","article_0_0_0_0_0_101_1_1_2.xml.state","UniformOperator.t",NA,87672,297580,84685,289654,0,0
"85","article_0_0_0_0_0_101_1_1_2.xml.state","SubtreeSlide.t",0.238031398601016,2348,190069,2310,184486,85814,85814
"86","article_0_0_0_0_0_101_1_1_2.xml.state","narrow.t",NA,19347,172609,18460,167895,0,0
"87","article_0_0_0_0_0_101_1_1_2.xml.state","wide.t",NA,62,38378,39,37296,19411,19411
"88","article_0_0_0_0_0_101_1_1_2.xml.state","WilsonBalding.t",NA,101,38464,66,37395,2553,2553
"89","article_0_0_0_0_0_101_1_1_2.xml.state","BirthRateScaler.t",0.477275556022712,10190,28333,9530,27869,0,0
"90","article_0_0_0_0_0_101_1_1_2.xml.state","DeathRateScaler.t",0.170943582008525,12438,26126,11562,25899,604,604
"91","article_0_0_0_0_0_101_1_2_1.xml.state","treeScaler.t",0.838324163526125,4464,34186,4420,33110,0,0
"92","article_0_0_0_0_0_101_1_2_1.xml.state","treeRootScaler.t",0.747876252272723,3437,35286,3381,34230,13795,13795
"93","article_0_0_0_0_0_101_1_2_1.xml.state","UniformOperator.t",NA,88324,296559,85320,288446,0,0
"94","article_0_0_0_0_0_101_1_2_1.xml.state","SubtreeSlide.t",0.227392740426569,2510,189814,2473,184295,85327,85327
"95","article_0_0_0_0_0_101_1_2_1.xml.state","narrow.t",NA,21806,170009,20848,165458,0,0
