"","rng_seed","sirg","siri","scr","erg","eri","age","mutation_rate","n_alignments","sequence_length","nspp","n_beast_runs"
"article_0_1_0_3_1_244.RDa",244,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_245.RDa",245,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_246.RDa",246,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_247.RDa",247,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_248.RDa",248,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_249.RDa",249,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_250.RDa",250,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_251.RDa",251,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_252.RDa",252,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_253.RDa",253,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_254.RDa",254,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_255.RDa",255,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_256.RDa",256,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_257.RDa",257,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_258.RDa",258,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_0_3_1_259.RDa",259,0.3,0.3,0.3,0,0,15,0.5,2,10000,1000,2
"article_0_1_1_3_0_260.RDa",260,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_261.RDa",261,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_262.RDa",262,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_263.RDa",263,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_264.RDa",264,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_265.RDa",265,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_266.RDa",266,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_267.RDa",267,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_268.RDa",268,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_269.RDa",269,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_270.RDa",270,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_271.RDa",271,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
"article_0_1_1_3_0_272.RDa",272,0.3,0.3,0.3,0.1,0.1,15,0.5,2,1000,1000,2
