"","filename","sti","ai","pi","posterior","likelihood","prior","treeLikelihood","TreeHeight","BirthDeath","birthRate2","relativeDeathRate2"
"31","article_0_0_0_0_0_103.RDa",2,2,1,443.646423911064,443.521368242539,528.75166033561,443.521368242539,905.932566952418,528.751660336094,846.912179392116,725.794326147573
"32","article_0_0_0_0_0_103.RDa",2,2,2,446.674001864897,446.727219864619,479.269326152785,446.727219864619,759.938867354041,479.269326153818,856.10066045115,735.734162054581
"33","article_0_0_0_0_0_104.RDa",1,1,1,595.78931830574,596.207591228124,534.521230781029,596.207591228124,965.269047372583,534.521230772358,823.154587155879,466.725007812438
"34","article_0_0_0_0_0_104.RDa",1,1,2,748.260412676225,748.572171038754,764.520901942017,748.572171038754,990.621733866036,764.520901945121,933.476741614591,712.044768397519
"35","article_0_0_0_0_0_104.RDa",1,2,1,682.936149511072,683.978081817794,567.253196708633,683.978081817794,770.67917447618,567.253196710343,731.694962075348,655.652837674648
"36","article_0_0_0_0_0_104.RDa",1,2,2,732.829702501416,734.206601977536,681.077592377648,734.206601977536,968.892142727462,681.077592376985,1001,736.856205970232
"37","article_0_0_0_0_0_104.RDa",2,1,1,416.678674170638,416.838921710444,525.30954231418,416.838921710444,922.952720388113,525.309542310766,888.965462559397,853.342178636979
"38","article_0_0_0_0_0_104.RDa",2,1,2,680.085143555368,679.880724843712,755.64393192115,679.880724843712,761.817830763806,755.643931921988,900.590055433723,535.134973586614
"39","article_0_0_0_0_0_104.RDa",2,2,1,529.416768320718,529.878786833631,555.298836679004,529.878786833631,626.120879493484,555.298836684018,809.400227019999,752.402066985956
"40","article_0_0_0_0_0_104.RDa",2,2,2,639.176759858138,639.166170429165,693.363733513287,639.166170429165,951.768126296618,693.363733513813,737.600124669521,775.136204772541
"41","article_0_0_0_0_0_105.RDa",1,1,1,693.50073928043,694.490740667243,605.388964227991,694.490740667243,966.829835685929,605.388964228027,850.539642116571,681.755987640064
"42","article_0_0_0_0_0_105.RDa",1,1,2,663.474154222038,664.03297064116,685.477616567251,664.03297064116,844.43459918061,685.477616562898,907.202755962746,721.517341168533
"43","article_0_0_0_0_0_105.RDa",1,2,1,482.491056242846,479.71838719977,636.900133566999,479.71838719977,972.509765533951,636.900133561153,1001,752.420902830581
"44","article_0_0_0_0_0_105.RDa",1,2,2,608.233617055825,608.386467038121,648.061271750425,608.386467038121,910.09758469792,648.061271748581,877.155392621472,694.625478255947
"45","article_0_0_0_0_0_105.RDa",2,1,1,593.105021049158,594.199480685187,493.078647721317,594.199480685187,752.297730845716,493.078647723163,794.591817960694,656.437231391779
"46","article_0_0_0_0_0_105.RDa",2,1,2,481.17885256649,480.946124043276,473.630779450058,480.946124043276,764.758659117809,473.63077945169,873.385038757986,561.762948770135
"47","article_0_0_0_0_0_105.RDa",2,2,1,602.372107624178,603.231715533835,617.26414492956,603.231715533835,577.342689557383,617.264144927927,857.711931061915,780.857858705218
"48","article_0_0_0_0_0_105.RDa",2,2,2,602.609026325852,603.08034598912,605.01324377436,603.08034598912,721.246609449478,605.013243782176,1001,787.435917999697
"49","article_0_0_0_0_0_106.RDa",1,1,1,813.781544182803,820.112435187919,500.288566965292,820.112435187919,864.618785470024,500.288566960619,561.401598243902,413.536167550132
"50","article_0_0_0_0_0_106.RDa",1,1,2,988.910968818781,989.421349843359,861.838109538641,989.421349843359,1001,861.83810953097,1001,717.062091623409
"51","article_0_0_0_0_0_106.RDa",1,2,1,911.95772456675,912.436892859471,894.65219500485,912.436892859471,975.99354961201,894.652195003633,882.706761044868,758.446261753093
"52","article_0_0_0_0_0_106.RDa",1,2,2,984.880171967624,986.662029357344,826.195094454834,986.662029357344,978.302638032417,826.195094451347,941.471335556407,769.187211981289
"53","article_0_0_0_0_0_106.RDa",2,1,1,860.320632049823,861.44227051905,702.02876752462,861.44227051905,981.952045407878,702.028767522585,798.231770419036,732.861816052158
"54","article_0_0_0_0_0_106.RDa",2,1,2,827.730435841376,829.360890399554,824.81397470739,829.360890399554,1001,824.813974707088,941.230103394503,698.48113373415
"55","article_0_0_0_0_0_106.RDa",2,2,1,958.43694941816,957.922588865627,720.739501272109,957.922588865627,1001,720.739501270254,683.94721475752,456.418389940829
"56","article_0_0_0_0_0_106.RDa",2,2,2,892.189921416926,893.317747990818,776.040692432727,893.317747990818,884.277465142813,776.040692429054,1001,814.749359762904
"57","article_0_0_0_0_0_107.RDa",1,1,1,612.051133205358,612.633388492236,607.644540181918,612.633388492236,813.826372070722,607.644540187223,767.299830837462,606.253708324845
"58","article_0_0_0_0_0_107.RDa",1,1,2,535.521229850732,535.491422575913,584.322020527369,535.491422575913,940.505680533351,584.322020529259,756.864700178882,670.686262368784
"59","article_0_0_0_0_0_107.RDa",1,2,1,611.978924666056,613.024567908379,607.615710578889,613.024567908379,650.032082685771,607.615710578563,871.197747156193,735.137278096475
"60","article_0_0_0_0_0_107.RDa",1,2,2,640.916275856418,641.225154681249,571.82361377128,641.225154681249,788.740170672768,571.823613776649,853.534747368136,731.380607308488
"61","article_0_0_0_0_0_107.RDa",2,1,1,668.819725864552,668.913932496126,731.737506650533,668.913932496126,929.851894542462,731.737506649853,828.497124279317,711.450292189867
"62","article_0_0_0_0_0_107.RDa",2,1,2,574.318315015757,575.027680043145,528.320103711707,575.027680043145,723.474188953104,528.320103709088,745.700578293796,625.97133684965
"63","article_0_0_0_0_0_107.RDa",2,2,1,597.316932477632,597.600693399741,584.136385478764,597.600693399741,836.37341935716,584.136385486371,883.993641980265,707.279877499999
"64","article_0_0_0_0_0_107.RDa",2,2,2,762.853202166371,763.671088211307,674.173824469195,763.671088211307,900.80619416331,674.173824468511,913.199184592916,785.372376262254
"65","article_0_0_0_0_0_108.RDa",1,1,1,292.399246281361,292.800528535964,238.952734650844,292.800528535964,807.506222229236,238.952734651432,629.767988643133,392.601248810475
"66","article_0_0_0_0_0_108.RDa",1,1,2,314.342367470923,314.559630703275,299.539270122823,314.559630703275,578.576891585683,299.539270122646,778.405612872067,666.087361336921
"67","article_0_0_0_0_0_108.RDa",1,2,1,270.498563656186,270.759453742498,250.575302113885,270.759453742498,533.720484614328,250.575302113145,477.007338980687,402.18213801059
"68","article_0_0_0_0_0_108.RDa",1,2,2,340.120032393667,340.457778660001,308.78875895511,340.457778660001,351.59597096364,308.788758953409,814.83881616776,630.343466267958
"69","article_0_0_0_0_0_108.RDa",2,1,1,237.515868358836,237.237814879567,213.607666604036,237.237814879567,643.351257953427,213.607666603445,852.303177432301,646.217750625196
"70","article_0_0_0_0_0_108.RDa",2,1,2,315.012612015884,315.44132729885,258.527819514239,315.44132729885,558.205371085232,258.527819514037,825.94872223954,324.607708425812
"71","article_0_0_0_0_0_108.RDa",2,2,1,268.58530969088,268.845578236479,235.342411608358,268.845578236479,415.403165810665,235.342411605642,787.763602780315,667.451765161155
"72","article_0_0_0_0_0_108.RDa",2,2,2,332.609484312926,332.979793618064,281.997329626978,332.979793618064,373.289209334552,281.997329627114,750.36287502211,566.513976127076
"73","article_0_0_0_0_0_109.RDa",1,1,1,408.053522089342,408.068436285239,523.009028447335,408.068436285239,687.721781698478,523.009028445572,920.093404585546,757.807252883343
"74","article_0_0_0_0_0_109.RDa",1,1,2,566.47933870207,566.424955439735,709.832688075474,566.424955439735,880.488858092844,709.83268807278,990.940191449354,681.191437184438
"75","article_0_0_0_0_0_109.RDa",1,2,1,592.361563837969,592.880827254452,566.471268275491,592.880827254452,784.9731101406,566.471268277557,828.585277399517,746.389329123192
"76","article_0_0_0_0_0_109.RDa",1,2,2,518.472930216738,519.21908210094,470.619503273658,519.21908210094,896.927767785631,470.619503271513,680.860849819107,588.509011095953
"77","article_0_0_0_0_0_109.RDa",2,1,1,555.416478456505,556.062025025823,520.997820123325,556.062025025823,949.611432843923,520.997820121638,709.169923834013,379.254546367988
"78","article_0_0_0_0_0_109.RDa",2,1,2,507.074293138841,506.811000710738,617.378857983413,506.811000710738,972.346097656865,617.378857981278,854.630570766023,510.24014002629
"79","article_0_0_0_0_0_109.RDa",2,2,1,658.295084292328,658.59014935452,613.52037041196,658.59014935452,948.623088522341,613.520370413007,960.705986376475,731.259327293936
"80","article_0_0_0_0_0_109.RDa",2,2,2,569.043102062581,569.020751016375,624.450172554164,569.020751016375,899.05575760613,624.450172554909,820.757752007251,683.377079683426
"81","article_0_0_0_0_0_110.RDa",1,1,1,331.908410860799,332.214204922779,347.011154736148,332.214204922779,662.738019227519,347.011154737802,1001,545.577444456708
"82","article_0_0_0_0_0_110.RDa",1,1,2,337.919786701275,338.083975302186,382.593108023594,338.083975302186,759.941932623669,382.593108022738,887.907044481177,877.814355019669
"83","article_0_0_0_0_0_110.RDa",1,2,1,385.621451939919,385.731154826439,454.977093965675,385.731154826439,895.691837928493,454.977093965848,802.427091676556,668.594685369552
"84","article_0_0_0_0_0_110.RDa",1,2,2,403.670864231705,404.33624484332,351.680901576477,404.33624484332,671.379688950441,351.680901574287,587.326121278232,490.924242204346
"85","article_0_0_0_0_0_110.RDa",2,1,1,374.418336989267,374.094893295118,411.195827302006,374.094893295118,692.188023128397,411.195827301257,811.543251169843,658.558922432398
"86","article_0_0_0_0_0_110.RDa",2,1,2,344.907411494431,345.311381876159,355.361935019511,345.311381876159,647.067165350466,355.361935020229,788.492108273152,624.348512669809
"87","article_0_0_0_0_0_110.RDa",2,2,1,287.954111327082,288.080865025834,335.87193890642,288.080865025834,771.244223550403,335.871938908993,663.808467020238,782.948775229212
"88","article_0_0_0_0_0_110.RDa",2,2,2,427.154624159437,427.854572281096,351.37330406173,427.854572281096,520.48184274413,351.373304062276,753.463932465997,742.856350123281
"89","article_0_0_0_0_0_111.RDa",1,1,1,241.337601240829,241.336937364958,278.433228853381,241.336937364958,406.362038002943,278.433228853916,766.447820428441,646.589191410474
"90","article_0_0_0_0_0_111.RDa",1,1,2,325.720121529344,326.142821155759,264.26280061328,326.142821155759,636.315667644626,264.262800611147,616.258565913677,548.186199113049
"91","article_0_0_0_0_0_111.RDa",1,2,1,303.205562597283,303.520168423389,275.234347864096,303.520168423389,653.684690127925,275.234347865069,561.342982916963,747.551133696639
"92","article_0_0_0_0_0_111.RDa",1,2,2,285.402170788397,285.431438650025,304.926087646176,285.431438650025,701.125268645073,304.926087646751,666.693452557459,752.721867476794
"93","article_0_0_0_0_0_111.RDa",2,1,1,242.631841403981,242.673759747838,244.991047062453,242.673759747838,345.961850238978,244.991047062365,691.535260624583,635.085649527303
"94","article_0_0_0_0_0_111.RDa",2,1,2,262.153422005174,262.272844582563,252.400372708299,262.272844582563,323.682720131246,252.400372708494,547.262478048355,445.474666090716
"95","article_0_0_0_0_0_111.RDa",2,2,1,269.776791085637,269.875325233803,282.4028939574,269.875325233803,651.318665565004,282.402893956977,744.258994116142,705.898366037238
"96","article_0_0_0_0_0_111.RDa",2,2,2,285.780207577871,286.043519773559,265.269040835585,286.043519773559,430.156375762131,265.26904083526,803.43729298184,699.771428676787
"97","article_0_0_0_0_0_112.RDa",1,1,1,486.098989796068,486.378680552815,525.359478888267,486.378680552815,513.81525885922,525.359478889462,917.409125078089,597.592980841576
"98","article_0_0_0_0_0_112.RDa",1,1,2,377.116067317345,377.25128534476,365.571445011391,377.25128534476,599.881854239497,365.571445011415,666.715927505557,435.129286207697
"99","article_0_0_0_0_0_112.RDa",1,2,1,406.02351802091,406.125735070877,411.312503318909,406.125735070877,895.458098355733,411.312503321009,914.842397673683,709.612599289622
"100","article_0_0_0_0_0_112.RDa",1,2,2,414.92982800975,415.252325478114,398.518136076461,415.252325478114,901.625840555567,398.518136076171,931.787177535443,640.731333006444
"101","article_0_0_0_0_0_112.RDa",2,1,1,437.992917224961,437.805658473479,519.372644726112,437.805658473479,809.18525739424,519.372644726506,903.614705823973,896.541859391353
"102","article_0_0_0_0_0_112.RDa",2,1,2,408.482158675351,409.158964126476,344.836204428146,409.158964126476,718.809063767185,344.836204431757,766.221098759155,744.515165170805
"103","article_0_0_0_0_0_112.RDa",2,2,1,452.449245493088,453.112468693216,370.635015166463,453.112468693216,807.830855719891,370.635015164863,810.91574181038,713.383480721531
"104","article_0_0_0_0_0_112.RDa",2,2,2,495.52419426062,495.643911972261,516.448507083618,495.643911972261,772.023712267051,516.448507083182,948.816960071446,787.154719064372
"105","article_0_0_0_0_0_113.RDa",1,1,1,533.186137419171,534.187251728908,449.032176178797,534.187251728908,572.323642731312,449.032176183904,777.23649785148,697.597042353828
"106","article_0_0_0_0_0_113.RDa",1,1,2,491.263469943823,491.698638658158,464.052904094573,491.698638658158,673.517935072465,464.052904094603,577.575222907328,381.310850420237
"107","article_0_0_0_0_0_113.RDa",1,2,1,442.948747368629,443.975557745685,286.407514765568,443.975557745685,656.782535340503,286.407514768748,563.917860167922,511.569977855718
"108","article_0_0_0_0_0_113.RDa",1,2,2,424.572586470579,426.514157916776,244.660316252397,426.514157916776,662.309587395847,244.660316253702,426.317293549293,301.726589906925
